Vecka,Unnamed: 0,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1.0,,60.7,73.4,67.3,40.6,46.4,61.9,64.0,65.3,69.9,50.9,50.68,41.96,74.65,64.82,65.3,59.0,66.9,51.1,63.7
2.0,,58.4,70.2,65.1,37.9,43.9,59.1,60.5,63.7,67.1,48.1,46.92,39.27,72.09,60.94,63.6,57.0,63.0,49.1,60.2
3.0,,55.5,66.3,64.2,35.5,41.2,56.2,56.5,61.2,64.5,45.4,43.14,36.65,69.19,56.78,60.2,54.8,58.8,46.7,56.9
4.0,,52.4,62.9,61.7,33.0,38.0,52.8,53.0,57.7,61.5,42.8,39.17,33.95,65.35,52.58,56.3,51.3,56.3,44.7,54.1
5.0,,49.3,58.7,59.4,29.9,34.9,49.4,50.6,54.2,58.2,39.5,35.54,31.34,60.87,49.44,52.5,48.8,53.3,42.0,50.9
6.0,,46.5,54.8,57.3,26.9,32.4,46.0,47.5,50.3,54.9,36.3,31.79,28.52,56.7,45.6,49.3,45.6,49.9,38.6,47.0
7.0,,43.2,51.8,55.1,24.1,29.4,42.4,44.0,46.4,51.4,32.3,27.68,24.72,53.15,41.53,46.3,43.9,46.1,36.0,43.2
8.0,,40.0,48.2,52.6,21.2,26.7,38.6,40.8,42.3,48.2,28.8,24.0,21.46,49.61,37.79,43.2,41.4,42.1,33.9,39.3
9.0,,37.2,43.8,49.5,18.4,24.0,34.1,37.0,38.7,45.4,25.5,20.69,18.89,46.28,34.48,40.2,38.8,38.4,31.3,34.9
10.0,,34.2,39.9,46.5,15.7,21.1,31.3,33.1,35.3,42.4,22.0,18.41,16.81,42.74,31.12,37.5,36.0,34.6,28.3,31.1
11.0,,31.3,36.3,43.0,13.6,18.3,27.9,29.7,32.8,39.7,18.7,16.18,14.93,39.7,27.41,35.7,33.2,32.2,26.3,27.6
12.0,,28.7,32.5,40.0,12.1,16.6,25.2,26.8,29.8,36.5,16.0,14.53,13.77,37.91,24.0,33.5,30.1,29.7,24.2,24.4
13.0,,26.1,28.9,37.4,11.1,14.5,22.8,24.2,27.2,33.1,13.0,13.46,12.31,38.58,21.12,30.5,27.5,27.7,22.7,21.3
14.0,,23.4,26.2,35.1,9.8,12.9,21.8,21.8,25.0,30.4,11.2,12.7,12.1,36.72,18.7,27.4,25.0,26.7,21.9,18.9
15.0,,21.1,23.9,33.6,8.2,11.8,21.0,19.9,23.4,28.1,10.8,12.75,13.73,34.68,16.17,25.6,23.6,25.4,21.4,16.9
16.0,,21.8,21.5,32.5,8.3,11.8,19.7,18.6,23.9,26.2,11.5,12.4,18.14,32.61,16.04,24.6,22.7,24.5,20.3,16.8
17.0,,26.8,21.2,37.7,10.6,15.4,19.9,20.2,27.9,25.5,12.5,13.34,23.08,32.06,16.85,25.4,23.7,24.3,18.9,20.1
18.0,,32.5,25.3,46.1,11.8,19.6,23.4,27.1,32.3,31.9,18.0,14.0,25.28,32.98,17.39,26.7,24.2,28.0,19.6,25.2
19.0,,38.1,33.2,51.5,14.7,30.3,26.5,36.2,36.8,44.2,24.7,18.77,31.7,34.39,20.91,26.9,28.4,33.9,20.4,38.9
20.0,,46.2,40.9,58.3,21.5,37.1,29.3,39.6,43.7,50.1,30.1,38.51,38.53,39.32,29.89,29.7,34.3,37.6,25.2,51.8
21.0,,54.3,46.3,61.9,31.2,40.1,38.1,47.0,51.3,53.0,35.7,48.29,44.8,46.7,43.74,41.5,39.2,46.2,33.0,57.2
22.0,,61.9,49.8,66.2,39.8,42.1,43.3,51.6,56.9,56.7,42.0,53.57,51.32,53.71,51.12,50.6,46.6,52.8,37.7,60.5
23.0,,65.7,55.3,70.1,46.6,44.4,49.8,54.1,63.0,62.2,46.4,56.31,60.64,60.24,56.66,58.1,56.0,54.4,45.1,60.8
24.0,,69.3,62.1,73.9,50.2,46.4,62.0,57.0,65.5,65.5,49.7,60.22,65.94,64.72,59.69,64.3,60.8,55.7,54.0,61.6
25.0,,73.2,67.4,76.3,53.1,48.8,70.5,61.4,67.0,68.4,53.9,63.03,70.12,70.89,62.41,66.1,63.1,57.7,60.2,64.2
26.0,,80.7,70.1,77.1,55.9,52.3,74.1,62.7,69.7,72.1,56.2,65.1,72.34,74.88,65.8,66.6,68.3,60.3,64.6,64.4
27.0,,84.0,73.1,78.6,57.3,58.7,76.5,63.2,73.2,74.1,57.9,66.29,73.6,80.07,68.21,68.4,73.1,62.1,67.0,63.9
28.0,,88.0,76.3,80.1,58.3,65.5,78.3,64.7,76.3,74.9,59.9,68.49,74.08,84.15,68.98,70.8,79.1,63.3,72.5,63.4
29.0,,91.1,80.1,80.7,59.1,68.2,80.2,65.2,78.2,75.5,61.7,71.22,76.34,85.91,70.3,73.1,82.2,63.2,75.6,63.4
30.0,,91.4,81.2,81.6,59.7,71.2,81.6,64.9,79.1,76.0,66.3,74.05,78.28,86.89,70.53,73.6,85.1,63.6,77.2,63.5
31.0,,90.8,81.8,81.4,61.2,72.8,81.6,64.3,80.9,75.5,69.3,75.31,79.5,88.63,72.04,73.8,89.7,65.0,79.2,63.9
32.0,,92.8,84.4,79.9,61.2,73.0,84.7,63.3,81.4,74.9,69.6,75.42,80.77,88.28,72.19,74.1,90.4,66.5,79.9,64.5
33.0,,93.3,84.9,78.7,62.4,72.3,84.8,62.5,82.6,74.5,69.9,74.86,83.51,86.77,72.6,73.7,90.4,66.7,81.0,65.1
34.0,,92.2,84.6,77.1,63.8,72.3,86.5,61.6,82.5,74.4,70.3,74.95,84.4,86.76,72.53,74.7,89.2,67.3,81.3,65.7
35.0,,91.3,88.5,75.7,64.2,72.4,88.1,61.3,82.2,74.4,70.5,74.19,84.53,86.72,72.03,74.2,89.1,68.3,80.9,65.3
36.0,,90.6,88.7,75.4,64.2,73.6,89.2,63.4,82.3,74.5,72.4,73.07,88.22,87.18,71.52,72.8,88.4,69.2,79.8,64.0
37.0,,89.7,90.1,74.4,64.0,74.4,89.9,63.7,82.7,73.4,74.1,73.28,89.1,87.81,69.96,71.6,86.4,69.4,81.2,63.7
38.0,,87.9,89.8,73.3,64.6,76.1,90.1,63.5,83.7,71.9,74.4,74.3,89.75,88.34,72.64,70.1,87.6,68.6,80.7,65.1
39.0,,86.0,88.6,72.0,66.0,79.4,89.6,63.8,83.9,70.7,75.6,73.74,90.4,88.3,72.8,69.5,89.2,69.0,79.6,67.9
40.0,,84.5,88.7,70.5,66.3,80.9,89.2,65.5,84.0,70.6,76.3,73.25,90.71,89.16,72.11,69.6,91.1,68.3,80.7,68.8
41.0,,84.8,90.3,68.4,66.0,82.0,88.3,66.7,83.5,71.5,75.5,71.51,90.05,89.4,72.1,69.8,90.1,66.4,81.0,70.0
42.0,,84.5,90.3,66.1,64.9,81.3,86.9,67.7,83.8,72.3,74.3,70.0,90.19,89.02,70.52,69.5,88.3,64.7,81.6,71.2
43.0,,83.8,89.1,64.2,63.1,80.6,85.2,68.9,84.1,72.2,73.0,68.53,89.88,87.41,70.17,70.2,87.1,63.2,81.4,71.1
44.0,,84.5,88.6,61.9,62.2,80.2,85.2,68.2,84.0,71.1,71.3,67.69,90.44,86.1,71.48,71.7,85.3,61.4,80.9,70.5
45.0,,82.6,87.2,59.3,61.5,79.6,84.7,67.8,83.1,69.6,69.7,65.65,89.94,84.82,71.11,71.6,85.0,58.5,79.9,69.8
46.0,,85.0,85.7,56.6,59.9,79.2,83.1,67.4,81.6,68.3,67.6,63.04,88.73,83.78,70.6,71.0,83.8,57.6,78.1,70.7
47.0,,84.4,83.8,53.9,58.0,77.6,81.6,67.5,79.9,66.1,67.4,59.7,87.58,82.89,69.46,69.0,81.3,57.0,76.2,68.5
48.0,,83.8,81.6,51.6,55.9,75.5,79.1,68.0,78.0,63.7,67.6,55.99,85.93,80.47,68.73,67.3,79.0,55.5,73.9,65.9
49.0,,82.7,78.8,49.3,54.3,73.3,76.6,68.1,76.7,61.2,66.0,52.73,83.94,76.95,67.41,65.6,77.6,54.8,72.3,64.3
50.0,,81.7,76.2,47.0,52.4,71.0,73.7,67.3,74.5,58.2,63.9,49.8,81.68,73.24,67.1,63.9,75.4,52.7,69.4,61.2
51.0,,78.9,73.5,45.0,50.3,68.9,70.7,66.9,72.7,55.6,60.6,46.94,79.17,69.67,66.57,62.0,73.1,52.9,67.5,57.8
52.0,,76.2,70.7,43.1,48.9,66.6,67.6,66.2,72.1,53.5,58.2,44.4,77.07,67.32,66.54,59.8,73.1,53.2,65.9,55.4
,,,,,,64.3,,,,,54.9,,,,,,70.8,,,
,,,,,,,,,,,,,,,,,,,,
